Año,Distrito,Género,Rango_etario,Ord_rango_etario,Frecuencia
2022,Sur-Anta,Varones,6-10 años,2,24
2022,Centro,Varones,6-10 años,2,621
2022,Sur-Metán,Varones,6-10 años,2,40
2022,Norte-Orán,Varones,6-10 años,2,59
2022,Norte-Tartagal,Varones,6-10 años,2,88
2020,Centro,Varones,60-74 años,10,407
2020,Sur-Metán,Varones,60-74 años,10,15
2020,Norte-Orán,Varones,60-74 años,10,31
2020,Norte-Tartagal,Varones,60-74 años,10,37
2021,Sur-Anta,Varones,60-74 años,10,3
2021,Centro,Varones,60-74 años,10,579
2021,Sur-Metán,Varones,60-74 años,10,29
2021,Norte-Orán,Varones,60-74 años,10,31
2021,Norte-Tartagal,Varones,60-74 años,10,44
2022,Sur-Anta,Varones,60-74 años,10,21
2022,Centro,Varones,60-74 años,10,451
2022,Sur-Metán,Varones,60-74 años,10,32
2022,Norte-Orán,Varones,60-74 años,10,48
2022,Norte-Tartagal,Varones,60-74 años,10,64
2020,Centro,Varones,Más de 74 años,11,152
2020,Sur-Metán,Varones,Más de 74 años,11,8
2020,Norte-Orán,Varones,Más de 74 años,11,6
2020,Norte-Tartagal,Varones,Más de 74 años,11,3
2021,Sur-Anta,Varones,Más de 74 años,11,2
2021,Centro,Varones,Más de 74 años,11,176
2021,Sur-Metán,Varones,Más de 74 años,11,15
2021,Norte-Orán,Varones,Más de 74 años,11,14
2021,Norte-Tartagal,Varones,Más de 74 años,11,14
2022,Sur-Anta,Varones,Más de 74 años,11,6
2022,Centro,Varones,Más de 74 años,11,186
2022,Sur-Metán,Varones,Más de 74 años,11,14
2022,Norte-Orán,Varones,Más de 74 años,11,6
2022,Norte-Tartagal,Varones,Más de 74 años,11,12
2020,Centro,Varones,Sin especificar,12,132
2020,Sur-Metán,Varones,Sin especificar,12,32
2020,Norte-Orán,Varones,Sin especificar,12,25
2020,Norte-Tartagal,Varones,Sin especificar,12,84
2021,Sur-Anta,Varones,Sin especificar,12,3
2021,Centro,Varones,Sin especificar,12,195
2021,Sur-Metán,Varones,Sin especificar,12,41
2021,Norte-Orán,Varones,Sin especificar,12,32
2021,Norte-Tartagal,Varones,Sin especificar,12,39
2022,Sur-Anta,Varones,Sin especificar,12,7
2022,Centro,Varones,Sin especificar,12,131
2022,Sur-Metán,Varones,Sin especificar,12,40
2022,Norte-Orán,Varones,Sin especificar,12,51
2022,Norte-Tartagal,Varones,Sin especificar,12,43
2023,Sur-Anta,Mujeres,Más de 74 años,11,16
2023,Sur-Anta,Mujeres,0-5 años,1,32
2023,Sur-Anta,Mujeres,6-10 años,2,33
2023,Sur-Anta,Mujeres,11-14 años,3,40
2023,Sur-Anta,Mujeres,15-17 años,4,33
2023,Sur-Anta,Mujeres,18-21 años,5,65
2023,Sur-Anta,Mujeres,22-29 años,6,133
2023,Sur-Anta,Mujeres,30-39 años,7,135
2023,Sur-Anta,Mujeres,40-49 años,8,91
2023,Sur-Anta,Mujeres,50-59 años,9,39
2023,Sur-Anta,Mujeres,60-74 años,10,25
2023,Sur-Anta,Mujeres,Sin especificar,12,23
2023,Sur-Anta,Varones,Más de 74 años,11,3
2023,Sur-Anta,Varones,0-5 años,1,28
2023,Sur-Anta,Varones,6-10 años,2,31
2023,Sur-Anta,Varones,11-14 años,3,20
2023,Sur-Anta,Varones,15-17 años,4,9
2023,Sur-Anta,Varones,18-21 años,5,9
2023,Sur-Anta,Varones,22-29 años,6,51
2023,Sur-Anta,Varones,30-39 años,7,101
2023,Sur-Anta,Varones,40-49 años,8,65
2023,Sur-Anta,Varones,50-59 años,9,25
2023,Sur-Anta,Varones,60-74 años,10,19
2023,Sur-Anta,Varones,Sin especificar,12,20
2023,Centro,Mujeres,Más de 74 años,11,413
2023,Centro,Mujeres,0-5 años,1,572
2023,Centro,Mujeres,6-10 años,2,757
2023,Centro,Mujeres,11-14 años,3,699
2023,Centro,Mujeres,15-17 años,4,505
2023,Centro,Mujeres,18-21 años,5,1242
2023,Centro,Mujeres,22-29 años,6,4169
2023,Centro,Mujeres,30-39 años,7,4458
2023,Centro,Mujeres,40-49 años,8,2849
2023,Centro,Mujeres,50-59 años,9,1494
2023,Centro,Mujeres,60-74 años,10,1122
2023,Centro,Mujeres,Sin especificar,12,454
2023,Centro,Varones,Más de 74 años,11,181
2023,Centro,Varones,0-5 años,1,585
2023,Centro,Varones,6-10 años,2,732
2023,Centro,Varones,11-14 años,3,479
2023,Centro,Varones,15-17 años,4,262
2023,Centro,Varones,18-21 años,5,272
2023,Centro,Varones,22-29 años,6,984
2023,Centro,Varones,30-39 años,7,1398
2023,Centro,Varones,40-49 años,8,953
2023,Centro,Varones,50-59 años,9,445
2023,Centro,Varones,60-74 años,10,488
2023,Centro,Varones,Sin especificar,12,208
2023,Sur-Metán,Mujeres,Más de 74 años,11,35
2023,Sur-Metán,Mujeres,0-5 años,1,22
2023,Sur-Metán,Mujeres,6-10 años,2,46
2023,Sur-Metán,Mujeres,11-14 años,3,49
2023,Sur-Metán,Mujeres,15-17 años,4,58
2023,Sur-Metán,Mujeres,18-21 años,5,129
2023,Sur-Metán,Mujeres,22-29 años,6,425
2023,Sur-Metán,Mujeres,30-39 años,7,359
2023,Sur-Metán,Mujeres,40-49 años,8,232
2023,Sur-Metán,Mujeres,50-59 años,9,110
2023,Sur-Metán,Mujeres,60-74 años,10,66
2023,Sur-Metán,Mujeres,Sin especificar,12,111
2023,Sur-Metán,Varones,Más de 74 años,11,20
2023,Sur-Metán,Varones,0-5 años,1,25
2023,Sur-Metán,Varones,6-10 años,2,44
2023,Sur-Metán,Varones,11-14 años,3,25
2023,Sur-Metán,Varones,15-17 años,4,18
2023,Sur-Metán,Varones,18-21 años,5,28
2023,Sur-Metán,Varones,22-29 años,6,77
2023,Sur-Metán,Varones,30-39 años,7,85
2023,Sur-Metán,Varones,40-49 años,8,56
2023,Sur-Metán,Varones,50-59 años,9,18
2023,Sur-Metán,Varones,60-74 años,10,32
2023,Sur-Metán,Varones,Sin especificar,12,87
2023,Norte-Orán,Mujeres,Más de 74 años,11,29
2023,Norte-Orán,Mujeres,0-5 años,1,67
2023,Norte-Orán,Mujeres,6-10 años,2,69
2023,Norte-Orán,Mujeres,11-14 años,3,88
2023,Norte-Orán,Mujeres,15-17 años,4,136
2023,Norte-Orán,Mujeres,18-21 años,5,238
2023,Norte-Orán,Mujeres,22-29 años,6,647
2023,Norte-Orán,Mujeres,30-39 años,7,572
2023,Norte-Orán,Mujeres,40-49 años,8,366
2023,Norte-Orán,Mujeres,50-59 años,9,135
2023,Norte-Orán,Mujeres,60-74 años,10,120
2023,Norte-Orán,Mujeres,Sin especificar,12,199
2023,Norte-Orán,Varones,Más de 74 años,11,18
2023,Norte-Orán,Varones,0-5 años,1,46
2023,Norte-Orán,Varones,6-10 años,2,64
2023,Norte-Orán,Varones,11-14 años,3,49
2023,Norte-Orán,Varones,15-17 años,4,27
2023,Norte-Orán,Varones,18-21 años,5,22
2023,Norte-Orán,Varones,22-29 años,6,73
2023,Norte-Orán,Varones,30-39 años,7,96
2023,Norte-Orán,Varones,40-49 años,8,69
2023,Norte-Orán,Varones,50-59 años,9,43
2023,Norte-Orán,Varones,60-74 años,10,48
2023,Norte-Orán,Varones,Sin especificar,12,60
2023,Norte-Tartagal,Mujeres,Más de 74 años,11,33
2023,Norte-Tartagal,Mujeres,0-5 años,1,55
2023,Norte-Tartagal,Mujeres,6-10 años,2,84
2023,Norte-Tartagal,Mujeres,11-14 años,3,117
2023,Norte-Tartagal,Mujeres,15-17 años,4,137
2023,Norte-Tartagal,Mujeres,18-21 años,5,282
2023,Norte-Tartagal,Mujeres,22-29 años,6,685
2023,Norte-Tartagal,Mujeres,30-39 años,7,654
2023,Norte-Tartagal,Mujeres,40-49 años,8,411
2023,Norte-Tartagal,Mujeres,50-59 años,9,199
2023,Norte-Tartagal,Mujeres,60-74 años,10,117
2023,Norte-Tartagal,Mujeres,Sin especificar,12,355
2023,Norte-Tartagal,Varones,Más de 74 años,11,13
2023,Norte-Tartagal,Varones,0-5 años,1,56
2023,Norte-Tartagal,Varones,6-10 años,2,46
2023,Norte-Tartagal,Varones,11-14 años,3,40
2023,Norte-Tartagal,Varones,15-17 años,4,30
2023,Norte-Tartagal,Varones,18-21 años,5,22
2023,Norte-Tartagal,Varones,22-29 años,6,123
2023,Norte-Tartagal,Varones,30-39 años,7,131
2023,Norte-Tartagal,Varones,40-49 años,8,92
2023,Norte-Tartagal,Varones,50-59 años,9,93
2023,Norte-Tartagal,Varones,60-74 años,10,58
2023,Norte-Tartagal,Varones,Sin especificar,12,134
2024,Sur-Anta,Mujeres,Más de 74 años,11,5
2024,Sur-Anta,Mujeres,0-5 años,1,10
2024,Sur-Anta,Mujeres,6-10 años,2,20
2024,Sur-Anta,Mujeres,11-14 años,3,12
2024,Sur-Anta,Mujeres,15-17 años,4,29
2024,Sur-Anta,Mujeres,18-21 años,5,66
2024,Sur-Anta,Mujeres,22-29 años,6,117
2024,Sur-Anta,Mujeres,30-39 años,7,115
2024,Sur-Anta,Mujeres,40-49 años,8,93
2024,Sur-Anta,Mujeres,50-59 años,9,31
2024,Sur-Anta,Mujeres,60-74 años,10,24
2024,Sur-Anta,Mujeres,Sin especificar,12,12
2024,Sur-Anta,Varones,Más de 74 años,11,6
2024,Sur-Anta,Varones,0-5 años,1,14
2024,Sur-Anta,Varones,6-10 años,2,17
2024,Sur-Anta,Varones,11-14 años,3,13
2024,Sur-Anta,Varones,15-17 años,4,3
2024,Sur-Anta,Varones,18-21 años,5,5
2024,Sur-Anta,Varones,22-29 años,6,73
2024,Sur-Anta,Varones,30-39 años,7,81
2024,Sur-Anta,Varones,40-49 años,8,50
2024,Sur-Anta,Varones,50-59 años,9,32
2024,Sur-Anta,Varones,60-74 años,10,11
2024,Sur-Anta,Varones,Sin especificar,12,8
2024,Centro,Mujeres,0-5 años,1,261
2024,Centro,Mujeres,11-14 años,3,382
2024,Centro,Mujeres,15-17 años,4,276
2024,Centro,Mujeres,18-21 años,5,642
2024,Centro,Mujeres,22-29 años,6,2207
2024,Centro,Mujeres,30-39 años,7,2483
2024,Centro,Mujeres,40-49 años,8,1668
2024,Centro,Mujeres,50-59 años,9,857
2024,Centro,Mujeres,6-10 años,2,367
2024,Centro,Mujeres,60-74 años,10,681
2024,Centro,Mujeres,Más de 74 años,11,219
2024,Centro,Mujeres,Sin especificar,12,272
2024,Centro,Varones,0-5 años,1,269
2024,Centro,Varones,11-14 años,3,216
2024,Centro,Varones,15-17 años,4,131
2024,Centro,Varones,18-21 años,5,142
2024,Centro,Varones,22-29 años,6,594
2024,Centro,Varones,30-39 años,7,800
2024,Centro,Varones,40-49 años,8,595
2024,Centro,Varones,50-59 años,9,279
2024,Centro,Varones,6-10 años,2,349
2024,Centro,Varones,60-74 años,10,247
2024,Centro,Varones,Más de 74 años,11,97
2024,Centro,Varones,Sin especificar,12,120
2024,Sur-Metán,Mujeres,0-5 años,1,19
2024,Sur-Metán,Mujeres,11-14 años,3,30
2024,Sur-Metán,Mujeres,15-17 años,4,29
2024,Sur-Metán,Mujeres,18-21 años,5,78
2024,Sur-Metán,Mujeres,22-29 años,6,224
2024,Sur-Metán,Mujeres,30-39 años,7,231
2024,Sur-Metán,Mujeres,40-49 años,8,141
2024,Sur-Metán,Mujeres,50-59 años,9,85
2024,Sur-Metán,Mujeres,6-10 años,2,26
2024,Sur-Metán,Mujeres,60-74 años,10,52
2024,Sur-Metán,Mujeres,Más de 74 años,11,15
2024,Sur-Metán,Mujeres,Sin especificar,12,48
2024,Sur-Metán,Varones,0-5 años,1,13
2024,Sur-Metán,Varones,11-14 años,3,17
2024,Sur-Metán,Varones,15-17 años,4,11
2024,Sur-Metán,Varones,18-21 años,5,7
2024,Sur-Metán,Varones,22-29 años,6,51
2024,Sur-Metán,Varones,30-39 años,7,91
2024,Sur-Metán,Varones,40-49 años,8,48
2024,Sur-Metán,Varones,50-59 años,9,36
2024,Sur-Metán,Varones,6-10 años,2,14
2024,Sur-Metán,Varones,60-74 años,10,26
2024,Sur-Metán,Varones,Más de 74 años,11,18
2024,Sur-Metán,Varones,Sin especificar,12,32
2024,Norte-Orán,Mujeres,0-5 años,1,32
2024,Norte-Orán,Mujeres,11-14 años,3,60
2024,Norte-Orán,Mujeres,15-17 años,4,60
2024,Norte-Orán,Mujeres,18-21 años,5,113
2024,Norte-Orán,Mujeres,22-29 años,6,386
2024,Norte-Orán,Mujeres,30-39 años,7,335
2024,Norte-Orán,Mujeres,40-49 años,8,184
2024,Norte-Orán,Mujeres,50-59 años,9,74
2024,Norte-Orán,Mujeres,6-10 años,2,60
2024,Norte-Orán,Mujeres,60-74 años,10,71
2024,Norte-Orán,Mujeres,Más de 74 años,11,18
2024,Norte-Orán,Mujeres,Sin especificar,12,59
2024,Norte-Orán,Varones,0-5 años,1,22
2024,Norte-Orán,Varones,11-14 años,3,26
2024,Norte-Orán,Varones,15-17 años,4,24
2024,Norte-Orán,Varones,18-21 años,5,22
2024,Norte-Orán,Varones,22-29 años,6,86
2024,Norte-Orán,Varones,30-39 años,7,109
2024,Norte-Orán,Varones,40-49 años,8,102
2024,Norte-Orán,Varones,50-59 años,9,40
2024,Norte-Orán,Varones,6-10 años,2,34
2024,Norte-Orán,Varones,60-74 años,10,37
2024,Norte-Orán,Varones,Más de 74 años,11,9
2024,Norte-Orán,Varones,Sin especificar,12,25
2024,Norte-Tartagal,Mujeres,0-5 años,1,36
2024,Norte-Tartagal,Mujeres,11-14 años,3,77
2024,Norte-Tartagal,Mujeres,15-17 años,4,77
2024,Norte-Tartagal,Mujeres,18-21 años,5,172
2024,Norte-Tartagal,Mujeres,22-29 años,6,433
2024,Norte-Tartagal,Mujeres,30-39 años,7,456
2024,Norte-Tartagal,Mujeres,40-49 años,8,278
2024,Norte-Tartagal,Mujeres,50-59 años,9,127
2024,Norte-Tartagal,Mujeres,6-10 años,2,37
2024,Norte-Tartagal,Mujeres,60-74 años,10,88
2024,Norte-Tartagal,Mujeres,Más de 74 años,11,22
2024,Norte-Tartagal,Mujeres,Sin especificar,12,61
2024,Norte-Tartagal,Varones,0-5 años,1,34
2024,Norte-Tartagal,Varones,11-14 años,3,21
2024,Norte-Tartagal,Varones,15-17 años,4,18
2024,Norte-Tartagal,Varones,18-21 años,5,22
2024,Norte-Tartagal,Varones,22-29 años,6,118
2024,Norte-Tartagal,Varones,30-39 años,7,159
2024,Norte-Tartagal,Varones,40-49 años,8,82
2024,Norte-Tartagal,Varones,50-59 años,9,71
2024,Norte-Tartagal,Varones,6-10 años,2,36
2024,Norte-Tartagal,Varones,60-74 años,10,42
2024,Norte-Tartagal,Varones,Más de 74 años,11,12
2024,Norte-Tartagal,Varones,Sin especificar,12,35